"","SEX","MAJOR","ACCEPT"
"219","male","A        ","yes"
"220","male","A        ","yes"
"221","male","A        ","yes"
"222","male","A        ","yes"
"223","male","A        ","yes"
"224","male","A        ","yes"
"225","male","A        ","yes"
"226","male","A        ","yes"
"227","male","A        ","yes"
"228","male","A        ","yes"
"229","male","A        ","yes"
"230","male","A        ","yes"
"231","male","A        ","yes"
"232","male","A        ","yes"
"233","male","A        ","yes"
"234","male","A        ","yes"
"235","male","A        ","yes"
"236","male","A        ","yes"
"237","male","A        ","yes"
"238","male","A        ","yes"
"239","male","A        ","yes"
"240","male","A        ","yes"
"241","male","A        ","yes"
"242","male","A        ","yes"
"243","male","A        ","yes"
"244","male","A        ","yes"
"245","male","A        ","yes"
"246","male","A        ","yes"
"247","male","A        ","yes"
"248","male","A        ","yes"
"249","male","A        ","yes"
"250","male","A        ","yes"
"251","male","A        ","yes"
"252","male","A        ","yes"
"253","male","A        ","yes"
"254","male","A        ","yes"
"255","male","A        ","yes"
"256","male","A        ","yes"
"257","male","A        ","yes"
"258","male","A        ","yes"
"259","male","A        ","yes"
"260","male","A        ","yes"
"261","male","A        ","yes"
"262","male","A        ","yes"
"263","male","A        ","yes"
"264","male","A        ","yes"
"265","male","A        ","yes"
"266","male","A        ","yes"
"267","male","A        ","yes"
"268","male","A        ","yes"
"269","male","A        ","yes"
"270","male","A        ","yes"
"271","male","A        ","yes"
"272","male","A        ","yes"
"273","male","A        ","yes"
"274","male","A        ","yes"
"275","male","A        ","yes"
"276","male","A        ","yes"
"277","male","A        ","yes"
"278","male","A        ","yes"
"279","male","A        ","yes"
"280","male","A        ","yes"
"281","male","A        ","yes"
"282","male","A        ","yes"
"283","male","A        ","yes"
"284","male","A        ","yes"
"285","male","A        ","yes"
"286","male","A        ","yes"
"287","male","A        ","yes"
"288","male","A        ","yes"
"289","male","A        ","yes"
"290","male","A        ","yes"
"291","male","A        ","yes"
"292","male","A        ","yes"
"293","male","A        ","yes"
"294","male","A        ","yes"
"295","male","A        ","yes"
"296","male","A        ","yes"
"297","male","A        ","yes"
"298","male","A        ","yes"
"299","male","A        ","yes"
"300","male","A        ","yes"
"301","male","A        ","yes"
"302","male","A        ","yes"
"303","male","A        ","yes"
"304","male","A        ","yes"
"305","male","A        ","yes"
"306","male","A        ","yes"
"307","male","A        ","yes"
"308","male","A        ","yes"
"309","male","A        ","yes"
"310","male","A        ","yes"
"311","male","A        ","yes"
"312","male","A        ","yes"
"313","male","A        ","yes"
"314","male","A        ","yes"
"315","male","A        ","yes"
"316","male","A        ","yes"
"317","male","A        ","yes"
"318","male","A        ","yes"
"319","male","A        ","yes"
"320","male","A        ","yes"
"321","male","A        ","yes"
"322","male","A        ","yes"
"323","male","A        ","yes"
"324","male","A        ","yes"
"325","male","A        ","yes"
"326","male","A        ","yes"
"327","male","A        ","yes"
"328","male","A        ","yes"
"329","male","A        ","yes"
"330","male","A        ","yes"
"331","male","A        ","yes"
"332","male","A        ","yes"
"333","male","A        ","yes"
"334","male","A        ","yes"
"335","male","A        ","yes"
"336","male","A        ","yes"
"337","male","A        ","yes"
"338","male","A        ","yes"
"339","male","A        ","yes"
"340","male","A        ","yes"
"341","male","A        ","yes"
"342","male","A        ","yes"
"343","male","A        ","yes"
"344","male","A        ","yes"
"345","male","A        ","yes"
"346","male","A        ","yes"
"347","male","A        ","yes"
"348","male","A        ","yes"
"349","male","A        ","yes"
"350","male","A        ","yes"
"351","male","A        ","yes"
"352","male","A        ","yes"
"353","male","A        ","yes"
"354","male","A        ","yes"
"355","male","A        ","yes"
"356","male","A        ","yes"
"357","male","A        ","yes"
"358","male","A        ","yes"
"359","male","A        ","yes"
"360","male","A        ","yes"
"361","male","A        ","yes"
"362","male","A        ","yes"
"363","male","A        ","yes"
"364","male","A        ","yes"
"365","male","A        ","yes"
"366","male","A        ","yes"
"367","male","A        ","yes"
"368","male","A        ","yes"
"369","male","A        ","yes"
"370","male","A        ","yes"
"371","male","A        ","yes"
"372","male","A        ","yes"
"373","male","A        ","yes"
"374","male","A        ","yes"
"375","male","A        ","yes"
"376","male","A        ","yes"
"377","male","A        ","yes"
"378","male","A        ","yes"
"379","male","A        ","yes"
"380","male","A        ","yes"
"381","male","A        ","yes"
"382","male","A        ","yes"
"383","male","A        ","yes"
"384","male","A        ","yes"
"385","male","A        ","yes"
"386","male","A        ","yes"
"387","male","A        ","yes"
"388","male","A        ","yes"
"389","male","A        ","yes"
"390","male","A        ","yes"
"391","male","A        ","yes"
"392","male","A        ","yes"
"393","male","A        ","yes"
"394","male","A        ","yes"
"395","male","A        ","yes"
"396","male","A        ","yes"
"397","male","A        ","yes"
"398","male","A        ","yes"
"399","male","A        ","yes"
"400","male","A        ","yes"
"401","male","A        ","yes"
"402","male","A        ","yes"
"403","male","A        ","yes"
"404","male","A        ","yes"
"405","male","A        ","yes"
"406","male","A        ","yes"
"407","male","A        ","yes"
"408","male","A        ","yes"
"409","male","A        ","yes"
"410","male","A        ","yes"
"411","male","A        ","yes"
"412","male","A        ","yes"
"413","male","A        ","yes"
"414","male","A        ","yes"
"415","male","A        ","yes"
"416","male","A        ","yes"
"417","male","A        ","yes"
"418","male","A        ","yes"
"419","male","A        ","yes"
"420","male","A        ","yes"
"421","male","A        ","yes"
"422","male","A        ","yes"
"423","male","A        ","yes"
"424","male","A        ","yes"
"425","male","A        ","yes"
"426","male","A        ","yes"
"427","male","A        ","yes"
"428","male","A        ","yes"
"429","male","A        ","yes"
"430","male","A        ","yes"
"431","male","A        ","yes"
"432","male","A        ","yes"
"433","male","A        ","yes"
"434","male","A        ","yes"
"435","male","A        ","yes"
"436","male","A        ","yes"
"437","male","A        ","yes"
"438","male","A        ","yes"
"439","male","A        ","yes"
"440","male","A        ","yes"
"441","male","A        ","yes"
"442","male","A        ","yes"
"443","male","A        ","yes"
"444","male","A        ","yes"
"445","male","A        ","yes"
"446","male","A        ","yes"
"447","male","A        ","yes"
"448","male","A        ","yes"
"449","male","A        ","yes"
"450","male","A        ","yes"
"451","male","A        ","yes"
"452","male","A        ","yes"
"453","male","A        ","yes"
"454","male","A        ","yes"
"455","male","A        ","yes"
"456","male","A        ","yes"
"457","male","A        ","yes"
"458","male","A        ","yes"
"459","male","A        ","yes"
"460","male","A        ","yes"
"461","male","A        ","yes"
"462","male","A        ","yes"
"463","male","A        ","yes"
"464","male","A        ","yes"
"465","male","A        ","yes"
"466","male","A        ","yes"
"467","male","A        ","yes"
"468","male","A        ","yes"
"469","male","A        ","yes"
"470","male","A        ","yes"
"471","male","A        ","yes"
"472","male","A        ","yes"
"473","male","A        ","yes"
"474","male","A        ","yes"
"475","male","A        ","yes"
"476","male","A        ","yes"
"477","male","A        ","yes"
"478","male","A        ","yes"
"479","male","A        ","yes"
"480","male","A        ","yes"
"481","male","A        ","yes"
"482","male","A        ","yes"
"483","male","A        ","yes"
"484","male","A        ","yes"
"485","male","A        ","yes"
"486","male","A        ","yes"
"487","male","A        ","yes"
"488","male","A        ","yes"
"489","male","A        ","yes"
"490","male","A        ","yes"
"491","male","A        ","yes"
"492","male","A        ","yes"
"493","male","A        ","yes"
"494","male","A        ","yes"
"495","male","A        ","yes"
"496","male","A        ","yes"
"497","male","A        ","yes"
"498","male","A        ","yes"
"499","male","A        ","yes"
"500","male","A        ","yes"
"501","male","A        ","yes"
"502","male","A        ","yes"
"503","male","A        ","yes"
"504","male","A        ","yes"
"505","male","A        ","yes"
"506","male","A        ","yes"
"507","male","A        ","yes"
"508","male","A        ","yes"
"509","male","A        ","yes"
"510","male","A        ","yes"
"511","male","A        ","yes"
"512","male","A        ","yes"
"513","male","A        ","no"
"514","male","A        ","no"
"515","male","A        ","no"
"516","male","A        ","no"
"517","male","A        ","no"
"518","male","A        ","no"
"519","male","A        ","no"
"520","male","A        ","no"
"521","male","A        ","no"
"522","male","A        ","no"
"523","male","A        ","no"
"524","male","A        ","no"
"525","male","A        ","no"
"526","male","A        ","no"
"527","male","A        ","no"
"528","male","A        ","no"
"529","male","A        ","no"
"530","male","A        ","no"
"531","male","A        ","no"
"532","male","A        ","no"
"533","male","A        ","no"
"534","male","A        ","no"
"535","male","A        ","no"
"536","male","A        ","no"
"537","male","A        ","no"
"538","male","A        ","no"
"539","male","A        ","no"
"540","male","A        ","no"
"541","male","A        ","no"
"542","male","A        ","no"
"543","male","A        ","no"
"544","male","A        ","no"
"545","male","A        ","no"
"546","male","A        ","no"
"547","male","A        ","no"
"548","male","A        ","no"
"549","male","A        ","no"
"550","male","A        ","no"
"551","male","A        ","no"
"552","male","A        ","no"
"553","male","A        ","no"
"554","male","A        ","no"
"555","male","A        ","no"
"556","male","A        ","no"
"557","male","A        ","no"
"558","male","A        ","no"
"559","male","A        ","no"
"560","male","A        ","no"
"561","male","A        ","no"
"562","male","A        ","no"
"563","male","A        ","no"
"564","male","A        ","no"
"565","male","A        ","no"
"566","male","A        ","no"
"567","male","A        ","no"
"568","male","A        ","no"
"569","male","A        ","no"
"570","male","A        ","no"
"571","male","A        ","no"
"572","male","A        ","no"
"573","male","A        ","no"
"574","male","A        ","no"
"575","male","A        ","no"
"576","male","A        ","no"
"577","male","A        ","no"
"578","male","A        ","no"
"579","male","A        ","no"
"580","male","A        ","no"
"581","male","A        ","no"
"582","male","A        ","no"
"583","male","A        ","no"
"584","male","A        ","no"
"585","male","A        ","no"
"586","male","A        ","no"
"587","male","A        ","no"
"588","male","A        ","no"
"589","male","A        ","no"
"590","male","A        ","no"
"591","male","A        ","no"
"592","male","A        ","no"
"593","male","A        ","no"
"594","male","A        ","no"
"595","male","A        ","no"
"596","male","A        ","no"
"597","male","A        ","no"
"598","male","A        ","no"
"599","male","A        ","no"
"600","male","A        ","no"
"601","male","A        ","no"
"602","male","A        ","no"
"603","male","A        ","no"
"604","male","A        ","no"
"605","male","A        ","no"
"606","male","A        ","no"
"607","male","A        ","no"
"608","male","A        ","no"
"609","male","A        ","no"
"610","male","A        ","no"
"611","male","A        ","no"
"612","male","A        ","no"
"613","male","A        ","no"
"614","male","A        ","no"
"615","male","A        ","no"
"616","male","A        ","no"
"617","male","A        ","no"
"618","male","A        ","no"
"619","male","A        ","no"
"620","male","A        ","no"
"621","male","A        ","no"
"622","male","A        ","no"
"623","male","A        ","no"
"624","male","A        ","no"
"625","male","A        ","no"
"626","male","A        ","no"
"627","male","A        ","no"
"628","male","A        ","no"
"629","male","A        ","no"
"630","male","A        ","no"
"631","male","A        ","no"
"632","male","A        ","no"
"633","male","A        ","no"
"634","male","A        ","no"
"635","male","A        ","no"
"636","male","A        ","no"
"637","male","A        ","no"
"638","male","A        ","no"
"639","male","A        ","no"
"640","male","A        ","no"
"641","male","A        ","no"
"642","male","A        ","no"
"643","male","A        ","no"
"644","male","A        ","no"
"645","male","A        ","no"
"646","male","A        ","no"
"647","male","A        ","no"
"648","male","A        ","no"
"649","male","A        ","no"
"650","male","A        ","no"
"651","male","A        ","no"
"652","male","A        ","no"
"653","male","A        ","no"
"654","male","A        ","no"
"655","male","A        ","no"
"656","male","A        ","no"
"657","male","A        ","no"
"658","male","A        ","no"
"659","male","A        ","no"
"660","male","A        ","no"
"661","male","A        ","no"
"662","male","A        ","no"
"663","male","A        ","no"
"664","male","A        ","no"
"665","male","A        ","no"
"666","male","A        ","no"
"667","male","A        ","no"
"668","male","A        ","no"
"669","male","A        ","no"
"670","male","A        ","no"
"671","male","A        ","no"
"672","male","A        ","no"
"673","male","A        ","no"
"674","male","A        ","no"
"675","male","A        ","no"
"676","male","A        ","no"
"677","male","A        ","no"
"678","male","A        ","no"
"679","male","A        ","no"
"680","male","A        ","no"
"681","male","A        ","no"
"682","male","A        ","no"
"683","male","A        ","no"
"684","male","A        ","no"
"685","male","A        ","no"
"686","male","A        ","no"
"687","male","A        ","no"
"688","male","A        ","no"
"689","male","A        ","no"
"690","male","A        ","no"
"691","male","A        ","no"
"692","male","A        ","no"
"693","male","A        ","no"
"694","male","A        ","no"
"695","male","A        ","no"
"696","male","A        ","no"
"697","male","A        ","no"
"698","male","A        ","no"
"699","male","A        ","no"
"700","male","A        ","no"
"701","male","A        ","no"
"702","male","A        ","no"
"703","male","A        ","no"
"704","male","A        ","no"
"705","male","A        ","no"
"706","male","A        ","no"
"707","male","A        ","no"
"708","male","A        ","no"
"709","male","A        ","no"
"710","male","A        ","no"
"711","male","A        ","no"
"712","male","A        ","no"
"713","male","A        ","no"
"714","male","A        ","no"
"715","male","A        ","no"
"716","male","A        ","no"
"717","male","A        ","no"
"718","male","A        ","no"
"719","male","A        ","no"
"720","male","A        ","no"
"721","male","A        ","no"
"722","male","A        ","no"
"723","male","A        ","no"
"724","male","A        ","no"
"725","male","A        ","no"
"726","male","A        ","no"
"727","male","A        ","no"
"728","male","A        ","no"
"729","male","A        ","no"
"730","male","A        ","no"
"731","male","A        ","no"
"732","male","A        ","no"
"733","male","A        ","no"
"734","male","A        ","no"
"735","male","A        ","no"
"736","male","A        ","no"
"737","male","A        ","no"
"738","male","A        ","no"
"739","male","A        ","no"
"740","male","A        ","no"
"741","male","A        ","no"
"742","male","A        ","no"
"743","male","A        ","no"
"744","male","A        ","no"
"745","male","A        ","no"
"746","male","A        ","no"
"747","male","A        ","no"
"748","male","A        ","no"
"749","male","A        ","no"
"750","male","A        ","no"
"751","male","A        ","no"
"752","male","A        ","no"
"753","male","A        ","no"
"754","male","A        ","no"
"755","male","A        ","no"
"756","male","A        ","no"
"757","male","A        ","no"
"758","male","A        ","no"
"759","male","A        ","no"
"760","male","A        ","no"
"761","male","A        ","no"
"762","male","A        ","no"
"763","male","A        ","no"
"764","male","A        ","no"
"765","male","A        ","no"
"766","male","A        ","no"
"767","male","A        ","no"
"768","male","A        ","no"
"769","male","A        ","no"
"770","male","A        ","no"
"771","male","A        ","no"
"772","male","A        ","no"
"773","male","A        ","no"
"774","male","A        ","no"
"775","male","A        ","no"
"776","male","A        ","no"
"777","male","A        ","no"
"778","male","A        ","no"
"779","male","A        ","no"
"780","male","A        ","no"
"781","male","A        ","no"
"782","male","A        ","no"
"783","male","A        ","no"
"784","male","A        ","no"
"785","male","A        ","no"
"786","male","A        ","no"
"787","male","A        ","no"
"788","male","A        ","no"
"789","male","A        ","no"
"790","male","A        ","no"
"791","male","A        ","no"
"792","male","A        ","no"
"793","male","A        ","no"
"794","male","A        ","no"
"795","male","A        ","no"
"796","male","A        ","no"
"797","male","A        ","no"
"798","male","A        ","no"
"799","male","A        ","no"
"800","male","A        ","no"
"801","male","A        ","no"
"802","male","A        ","no"
"803","male","A        ","no"
"804","male","A        ","no"
"805","male","A        ","no"
"806","male","A        ","no"
"807","male","A        ","no"
"808","male","A        ","no"
"809","male","A        ","no"
"810","male","A        ","no"
"811","male","A        ","no"
"812","male","A        ","no"
"813","male","A        ","no"
"814","male","A        ","no"
"815","male","A        ","no"
"816","male","A        ","no"
"817","male","A        ","no"
"818","male","A        ","no"
"819","male","A        ","no"
"820","male","A        ","no"
"821","male","A        ","no"
"822","male","A        ","no"
"823","male","A        ","no"
"824","male","A        ","no"
"825","male","A        ","no"
"826","female","A        ","yes"
"827","female","A        ","yes"
"828","female","A        ","yes"
"829","female","A        ","yes"
"830","female","A        ","yes"
"831","female","A        ","yes"
"832","female","A        ","yes"
"833","female","A        ","yes"
"834","female","A        ","yes"
"835","female","A        ","yes"
"836","female","A        ","yes"
"837","female","A        ","yes"
"838","female","A        ","yes"
"839","female","A        ","yes"
"840","female","A        ","yes"
"841","female","A        ","yes"
"842","female","A        ","yes"
"843","female","A        ","yes"
"844","female","A        ","yes"
"845","female","A        ","yes"
"846","female","A        ","yes"
"847","female","A        ","yes"
"848","female","A        ","yes"
"849","female","A        ","yes"
"850","female","A        ","yes"
"851","female","A        ","yes"
"852","female","A        ","yes"
"853","female","A        ","yes"
"854","female","A        ","yes"
"855","female","A        ","yes"
"856","female","A        ","yes"
"857","female","A        ","yes"
"858","female","A        ","yes"
"859","female","A        ","yes"
"860","female","A        ","yes"
"861","female","A        ","yes"
"862","female","A        ","yes"
"863","female","A        ","yes"
"864","female","A        ","yes"
"865","female","A        ","yes"
"866","female","A        ","yes"
"867","female","A        ","yes"
"868","female","A        ","yes"
"869","female","A        ","yes"
"870","female","A        ","yes"
"871","female","A        ","yes"
"872","female","A        ","yes"
"873","female","A        ","yes"
"874","female","A        ","yes"
"875","female","A        ","yes"
"876","female","A        ","yes"
"877","female","A        ","yes"
"878","female","A        ","yes"
"879","female","A        ","yes"
"880","female","A        ","yes"
"881","female","A        ","yes"
"882","female","A        ","yes"
"883","female","A        ","yes"
"884","female","A        ","yes"
"885","female","A        ","yes"
"886","female","A        ","yes"
"887","female","A        ","yes"
"888","female","A        ","yes"
"889","female","A        ","yes"
"890","female","A        ","yes"
"891","female","A        ","yes"
"892","female","A        ","yes"
"893","female","A        ","yes"
"894","female","A        ","yes"
"895","female","A        ","yes"
"896","female","A        ","yes"
"897","female","A        ","yes"
"898","female","A        ","yes"
"899","female","A        ","yes"
"900","female","A        ","yes"
"901","female","A        ","yes"
"902","female","A        ","yes"
"903","female","A        ","yes"
"904","female","A        ","yes"
"905","female","A        ","yes"
"906","female","A        ","yes"
"907","female","A        ","yes"
"908","female","A        ","yes"
"909","female","A        ","yes"
"910","female","A        ","yes"
"911","female","A        ","yes"
"912","female","A        ","yes"
"913","female","A        ","yes"
"914","female","A        ","yes"
"915","female","A        ","no"
"916","female","A        ","no"
"917","female","A        ","no"
"918","female","A        ","no"
"919","female","A        ","no"
"920","female","A        ","no"
"921","female","A        ","no"
"922","female","A        ","no"
"923","female","A        ","no"
"924","female","A        ","no"
"925","female","A        ","no"
"926","female","A        ","no"
"927","female","A        ","no"
"928","female","A        ","no"
"929","female","A        ","no"
"930","female","A        ","no"
"931","female","A        ","no"
"932","female","A        ","no"
"933","female","A        ","no"
"934","male","B        ","yes"
"935","male","B        ","yes"
"936","male","B        ","yes"
"937","male","B        ","yes"
"938","male","B        ","yes"
"939","male","B        ","yes"
"940","male","B        ","yes"
"941","male","B        ","yes"
"942","male","B        ","yes"
"943","male","B        ","yes"
"944","male","B        ","yes"
"945","male","B        ","yes"
"946","male","B        ","yes"
"947","male","B        ","yes"
"948","male","B        ","yes"
"949","male","B        ","yes"
"950","male","B        ","yes"
"951","male","B        ","yes"
"952","male","B        ","yes"
"953","male","B        ","yes"
"954","male","B        ","yes"
"955","male","B        ","yes"
"956","male","B        ","yes"
"957","male","B        ","yes"
"958","male","B        ","yes"
"959","male","B        ","yes"
"960","male","B        ","yes"
"961","male","B        ","yes"
"962","male","B        ","yes"
"963","male","B        ","yes"
"964","male","B        ","yes"
"965","male","B        ","yes"
"966","male","B        ","yes"
"967","male","B        ","yes"
"968","male","B        ","yes"
"969","male","B        ","yes"
"970","male","B        ","yes"
"971","male","B        ","yes"
"972","male","B        ","yes"
"973","male","B        ","yes"
"974","male","B        ","yes"
"975","male","B        ","yes"
"976","male","B        ","yes"
"977","male","B        ","yes"
"978","male","B        ","yes"
"979","male","B        ","yes"
"980","male","B        ","yes"
"981","male","B        ","yes"
"982","male","B        ","yes"
"983","male","B        ","yes"
"984","male","B        ","yes"
"985","male","B        ","yes"
"986","male","B        ","yes"
"987","male","B        ","yes"
"988","male","B        ","yes"
"989","male","B        ","yes"
"990","male","B        ","yes"
"991","male","B        ","yes"
"992","male","B        ","yes"
"993","male","B        ","yes"
"994","male","B        ","yes"
"995","male","B        ","yes"
"996","male","B        ","yes"
"997","male","B        ","yes"
"998","male","B        ","yes"
"999","male","B        ","yes"
"1000","male","B        ","yes"
"1001","male","B        ","yes"
"1002","male","B        ","yes"
"1003","male","B        ","yes"
"1004","male","B        ","yes"
"1005","male","B        ","yes"
"1006","male","B        ","yes"
"1007","male","B        ","yes"
"1008","male","B        ","yes"
"1009","male","B        ","yes"
"1010","male","B        ","yes"
"1011","male","B        ","yes"
"1012","male","B        ","yes"
"1013","male","B        ","yes"
"1014","male","B        ","yes"
"1015","male","B        ","yes"
"1016","male","B        ","yes"
"1017","male","B        ","yes"
"1018","male","B        ","yes"
"1019","male","B        ","yes"
"1020","male","B        ","yes"
"1021","male","B        ","yes"
"1022","male","B        ","yes"
"1023","male","B        ","yes"
"1024","male","B        ","yes"
"1025","male","B        ","yes"
"1026","male","B        ","yes"
"1027","male","B        ","yes"
"1028","male","B        ","yes"
"1029","male","B        ","yes"
"1030","male","B        ","yes"
"1031","male","B        ","yes"
"1032","male","B        ","yes"
"1033","male","B        ","yes"
"1034","male","B        ","yes"
"1035","male","B        ","yes"
"1036","male","B        ","yes"
"1037","male","B        ","yes"
"1038","male","B        ","yes"
"1039","male","B        ","yes"
"1040","male","B        ","yes"
"1041","male","B        ","yes"
"1042","male","B        ","yes"
"1043","male","B        ","yes"
"1044","male","B        ","yes"
"1045","male","B        ","yes"
"1046","male","B        ","yes"
"1047","male","B        ","yes"
"1048","male","B        ","yes"
"1049","male","B        ","yes"
"1050","male","B        ","yes"
"1051","male","B        ","yes"
"1052","male","B        ","yes"
"1053","male","B        ","yes"
"1054","male","B        ","yes"
"1055","male","B        ","yes"
"1056","male","B        ","yes"
"1057","male","B        ","yes"
"1058","male","B        ","yes"
"1059","male","B        ","yes"
"1060","male","B        ","yes"
"1061","male","B        ","yes"
"1062","male","B        ","yes"
"1063","male","B        ","yes"
"1064","male","B        ","yes"
"1065","male","B        ","yes"
"1066","male","B        ","yes"
"1067","male","B        ","yes"
"1068","male","B        ","yes"
"1069","male","B        ","yes"
"1070","male","B        ","yes"
"1071","male","B        ","yes"
"1072","male","B        ","yes"
"1073","male","B        ","yes"
"1074","male","B        ","yes"
"1075","male","B        ","yes"
"1076","male","B        ","yes"
"1077","male","B        ","yes"
"1078","male","B        ","yes"
"1079","male","B        ","yes"
"1080","male","B        ","yes"
"1081","male","B        ","yes"
"1082","male","B        ","yes"
"1083","male","B        ","yes"
"1084","male","B        ","yes"
"1085","male","B        ","yes"
"1086","male","B        ","yes"
"1087","male","B        ","yes"
"1088","male","B        ","yes"
"1089","male","B        ","yes"
"1090","male","B        ","yes"
"1091","male","B        ","yes"
"1092","male","B        ","yes"
